facility_id,facility_name,address,city_town,state,zip_code,county_parish,telephone_number,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_lowest_to_10_highest,patients_rating_of_the_facility_linear_mean_score,patients_who_reported_yes_they_would_definitely_recommend_the_facility_to_family_or_friends,patients_who_reported_probably_yes_they_would_recommend_the_facility_to_family_or_friends,patients_who_reported_no_they_would_not_recommend_the_facility_to_family_or_friends,patients_recommending_the_facility_linear_mean_score,footnote,number_of_sampled_patients,number_of_completed_surveys,survey_response_rate_percent,start_date,end_date
01C0001000,MONTGOMERY SURGICAL CENTER,470 TAYLOR RD SUITE 100,MONTGOMERY,AL,36117,,(334) 747-9666,97,3,0,99,94,5,1,96,92,6,2,97,92,8,0,97,"3,6",358,82,23,07/01/2024,06/30/2025
01C0001002,MOBILE SC LTD DBA MOBILE SURGERY CENTER,6144 AIRPORT BLVD SUITE A,MOBILE,AL,36608,,(251) 438-3614,99,1,0,100,96,4,0,98,91,8,1,97,95,5,0,98,3,526,128,24,07/01/2024,06/30/2025
01C0001008,OUTPATIENT CARECENTER,2720 UNIVERSITY BLVD,BIRMINGHAM,AL,35007,,(205) 558-4859,95,4,1,97,94,4,2,96,87,11,2,94,87,9,4,94,3,1300,277,21,07/01/2024,06/30/2025
01C0001009,SURGICARE OF MOBILE LTD,2890 DAUPHIN ST.,MOBILE,AL,36606,,(251) 473-2020,99,1,0,99,95,3,2,97,92,7,1,97,91,8,1,97,3,799,249,31,07/01/2024,06/30/2025
01C0001010,SOUTHERN ALABAMA SURGERY CENTER LLC,"2800 ROSS CLERK CIR, STE. 3",DOTHAN,AL,36301,,(334) 793-3411,96,3,1,98,86,12,2,92,86,10,4,93,87,8,5,93,"3,6",246,77,31,07/01/2024,06/30/2025
01C0001011,GADSDEN SURGERY CENTER LP,418 SOUTH 5TH ST,GADSDEN,AL,35901,,(256) 543-1253,98,2,0,99,95,4,1,97,95,4,1,97,92,6,2,97,3,582,137,24,07/01/2024,06/30/2025
01C0001013,THE SURGERY CENTER OF HUNTSVILLE,721 MADISON ST,HUNTSVILLE,AL,35801,,(256) 533-4888,98,2,0,99,92,7,1,96,93,5,2,96,87,12,1,95,3,536,166,31,07/01/2024,06/30/2025
01C0001014,OUTPATIENT SERVICES EAST,52 MEDICAL PARK DR. EAST,BIRMINGHAM,AL,35235,,(205) 838-3888,97,2,1,98,95,3,2,96,91,8,1,95,87,12,1,95,"3,6",378,71,19,07/01/2024,06/30/2025
01C0001017,TUSCALOOSA SURGICAL CENTER LP,1400 MCFARLAND BLVD NORTH,TUSCALOOSA,AL,35406,,(205) 750-2109,98,2,0,99,95,4,1,97,91,9,0,97,95,4,1,98,3,494,157,32,07/01/2024,06/30/2025
01C0001018,DECATUR AMBULATORY SURGERY CENTER,2828 US HWY 31,DECATUR,AL,35603,,(256) 340-1212,95,5,0,97,88,9,3,93,82,14,4,92,77,19,4,91,3,1122,251,22,07/01/2024,06/30/2025
01C0001020,MEDPLEX OUTPATIENT SURGERY CENTER LTD,4511 SOUTHLAKE PARKWAY,BIRMINGHAM,AL,35244,,(205) 985-4398,95,4,1,97,92,5,3,95,87,9,4,93,87,11,2,94,,795,189,24,07/01/2024,06/30/2025
01C0001021,SPRINGHILL SURGERY CENTER,3701 DAUPHIN ST.,MOBILE,AL,36608,,(251) 340-6919,96,3,1,98,94,5,1,97,84,14,2,94,86,14,0,95,"3,6",395,77,20,07/01/2024,06/30/2025
01C0001022,FLORENCE SURGERY CENTER LP,103 HELTON CT,FLORENCE,AL,35630,,(256) 760-0672,97,3,0,98,92,7,1,96,83,16,1,95,84,14,2,93,3,577,160,28,07/01/2024,06/30/2025
01C0001024,TUSCALOOSA ENDOSCOPY CENTER,100 RICE MINE RD NORTHEAST SUITE E,TUSCALOOSA,AL,35406,,(205) 345-0010,96,4,0,98,94,5,1,96,86,13,1,94,81,18,1,93,"3,6",384,70,18,07/01/2024,06/30/2025
01C0001026,MONTGOMERY EYE SURGERY CENTER LLC,2752 ZELDA RD,MONTGOMERY,AL,36106,,(334) 270-6977,96,4,0,98,94,5,1,96,89,9,2,95,89,8,3,94,3,2501,779,31,07/01/2024,06/30/2025
01C0001027,BIRMINGHAM SURGERY CENTER,2621 19TH ST SOUTH,BIRMINGHAM,AL,35209,,(205) 271-8200,97,2,1,98,95,4,1,97,88,10,2,95,86,13,1,95,3,1737,424,24,07/01/2024,06/30/2025
01C0001029,NORTH RIVER SURGICAL CENTER LLC,301 RICE MINE RD NE,TUSCALOOSA,AL,35406,,(205) 750-0022,97,2,1,98,93,5,2,95,91,6,3,96,93,4,3,96,3,389,101,26,07/01/2024,06/30/2025
